ticker,volume,open,close,high,low,time,transactions
AAPL,79637,210.36,210.38,210.41,210.31,1751993940000,826
AAPL,83102,210.37,210.23,210.40,210.17,1751994000000,815
AAPL,72151,210.24,210.17,210.34,210.13,1751994060000,860
AAPL,86421,210.18,210.24,210.27,210.11,1751994120000,958
AAPL,57781,210.24,210.42,210.43,210.24,1751994180000,797
AAPL,58885,210.42,210.39,210.44,210.37,1751994240000,656
AAPL,45342,210.37,210.31,210.40,210.20,1751994300000,762
AAPL,45666,210.31,210.29,210.37,210.24,1751994360000,609
AAPL,32104,210.28,210.27,210.31,210.26,1751994420000,619
AAPL,56640,210.26,210.24,210.28,210.15,1751994480000,866
AAPL,100608,210.23,210.07,210.27,210.06,1751994540000,1149
AAPL,60685,210.06,210.15,210.19,210.02,1751994600000,960
AAPL,42046,210.15,210.10,210.20,210.08,1751994660000,771
AAPL,41159,210.09,210.12,210.16,210.06,1751994720000,772
AAPL,102464,210.10,209.91,210.11,209.90,1751994780000,1480
AAPL,69186,209.89,209.81,209.92,209.80,1751994840000,1140
AAPL,73183,209.82,209.89,209.89,209.80,1751994900000,953
AAPL,58636,209.89,209.96,209.99,209.87,1751994960000,893
AAPL,144986,209.93,209.71,209.96,209.69,1751995020000,1876
AAPL,123192,209.73,209.55,209.74,209.51,1751995080000,1624
AAPL,81066,209.55,209.68,209.72,209.53,1751995140000,1071
AAPL,50057,209.68,209.70,209.74,209.61,1751995200000,743
AAPL,36189,209.69,209.67,209.70,209.65,1751995260000,782
AAPL,111460,209.66,209.60,209.69,209.50,1751995320000,1420
AAPL,73480,209.60,209.82,209.84,209.58,1751995380000,1029
AAPL,60599,209.82,209.76,209.82,209.67,1751995440000,834
AAPL,31465,209.76,209.70,209.80,209.70,1751995500000,597
AAPL,25291,209.71,209.75,209.79,209.71,1751995560000,482
AAPL,66146,209.75,209.86,209.89,209.72,1751995620000,742
AAPL,39517,209.86,209.90,209.92,209.83,1751995680000,632
AAPL,36695,209.91,209.84,209.91,209.81,1751995740000,622
AAPL,60180,209.84,209.82,209.94,209.80,1751995800000,901
AAPL,51361,209.82,209.77,209.84,209.72,1751995860000,795
AAPL,56932,209.78,209.60,209.81,209.59,1751995920000,856
AAPL,44871,209.60,209.62,209.66,209.59,1751995980000,857
AAPL,53515,209.62,209.53,209.63,209.50,1751996040000,946
AAPL,51310,209.51,209.56,209.61,209.49,1751996100000,801
AAPL,30067,209.57,209.54,209.59,209.49,1751996160000,648
AAPL,31499,209.54,209.52,209.58,209.47,1751996220000,620
AAPL,29386,209.52,209.64,209.65,209.52,1751996280000,657
AAPL,33584,209.64,209.59,209.65,209.53,1751996340000,644
AAPL,38607,209.61,209.65,209.69,209.60,1751996400000,740
AAPL,32119,209.63,209.53,209.64,209.53,1751996460000,634
AAPL,69407,209.51,209.43,209.53,209.41,1751996520000,964
AAPL,26487,209.42,209.44,209.47,209.42,1751996580000,528
AAPL,32255,209.45,209.54,209.54,209.41,1751996640000,675
AAPL,51957,209.54,209.53,209.60,209.49,1751996700000,768
AAPL,25013,209.53,209.50,209.56,209.46,1751996760000,554
AAPL,43953,209.49,209.48,209.52,209.43,1751996820000,691
AAPL,70966,209.49,209.34,209.51,209.32,1751996880000,1010
AAPL,62978,209.34,209.48,209.50,209.34,1751996940000,898
AAPL,37304,209.48,209.39,209.51,209.39,1751997000000,684
AAPL,48299,209.39,209.49,209.51,209.38,1751997060000,773
AAPL,68129,209.50,209.69,209.70,209.50,1751997120000,985
AAPL,60976,209.68,209.74,209.74,209.65,1751997180000,848
AAPL,51672,209.74,209.69,209.80,209.68,1751997240000,766
AAPL,46114,209.72,209.73,209.74,209.63,1751997300000,745
AAPL,52895,209.73,209.83,209.83,209.70,1751997360000,784
AAPL,76070,209.83,209.78,209.85,209.73,1751997420000,1157
AAPL,36239,209.78,209.84,209.85,209.77,1751997480000,707
AAPL,52745,209.84,209.85,209.88,209.80,1751997540000,675
AAPL,35237,209.81,209.78,209.86,209.76,1751997600000,710
AAPL,44309,209.78,209.80,209.82,209.72,1751997660000,683
AAPL,32129,209.80,209.75,209.81,209.74,1751997720000,558
AAPL,36160,209.77,209.84,209.88,209.76,1751997780000,594
AAPL,82379,209.85,210.03,210.04,209.85,1751997840000,1001
AAPL,95312,210.02,210.19,210.23,210.02,1751997900000,1280
AAPL,46609,210.19,210.19,210.20,210.13,1751997960000,685
AAPL,39810,210.19,210.20,210.23,210.15,1751998020000,638
AAPL,57219,210.20,210.16,210.26,210.14,1751998080000,773
AAPL,26801,210.16,210.13,210.18,210.12,1751998140000,613
AAPL,27548,210.14,210.13,210.19,210.10,1751998200000,623
AAPL,41960,210.13,210.12,210.16,210.06,1751998260000,629
AAPL,252839,210.12,209.96,210.12,209.88,1751998320000,1559
AAPL,52012,209.95,210.05,210.12,209.94,1751998380000,717
AAPL,37872,210.05,209.97,210.05,209.95,1751998440000,490
AAPL,27301,209.97,210.02,210.03,209.95,1751998500000,550
AAPL,36686,210.03,210.10,210.10,209.99,1751998560000,715
AAPL,34843,210.10,210.11,210.13,210.07,1751998620000,508
AAPL,29663,210.12,210.14,210.18,210.11,1751998680000,551
AAPL,35399,210.13,210.05,210.18,210.05,1751998740000,706
AAPL,43178,210.06,209.96,210.07,209.93,1751998800000,723
AAPL,61307,209.95,209.94,210.01,209.84,1751998860000,981
AAPL,21891,209.94,210.00,210.00,209.92,1751998920000,414
AAPL,31227,210.00,210.08,210.08,209.98,1751998980000,669
AAPL,44104,210.10,210.15,210.19,210.08,1751999040000,755
AAPL,42485,210.14,210.12,210.16,210.02,1751999100000,713
AAPL,36779,210.11,210.02,210.13,209.99,1751999160000,683
AAPL,22809,210.02,210.03,210.05,210.00,1751999220000,531
AAPL,39878,210.03,209.96,210.04,209.94,1751999280000,623
AAPL,38836,209.96,209.95,209.97,209.90,1751999340000,713
AAPL,38208,209.95,209.78,209.96,209.77,1751999400000,747
AAPL,45995,209.79,209.79,209.84,209.73,1751999460000,824
AAPL,37223,209.77,209.80,209.84,209.75,1751999520000,742
AAPL,47110,209.79,209.73,209.81,209.73,1751999580000,732
AAPL,31660,209.72,209.83,209.85,209.72,1751999640000,620
AAPL,37519,209.83,209.91,209.93,209.80,1751999700000,648
